"Week","Date","Fuel","Variable","Value","Unit","Status"
"2006w08",2006-02-24,"Premium Petrol 95R","Price excluding tax",88.24611111,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","GST",16.98888889,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Board price",152.9,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Adjusted retail price",152.9,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Importer margin",13.47911111,"NZD c/L","Final"
"2006w08",2006-02-24,"Premium Petrol 95R","Importer margin trend",11.9132904546926,"NZD c/L","Final"
"2006w09",2006-03-03,"NA","Dubai crude price",57.61,"USD/bbl","Final"
"2006w09",2006-03-03,"NA","Dubai crude price",86.94,"NZD/bbl","Final"
"2006w09",2006-03-03,"NA","Exchange rate",0.663,"USD/NZD","Final"
"2006w09",2006-03-03,"Diesel","Importer cost",80.6,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Price excluding tax",95.3,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","ETS",0,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","GST",12,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Board price",107.6,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Adjusted retail price",107.6,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Importer margin",14.5,"NZD c/L","Final"
"2006w09",2006-03-03,"Diesel","Importer margin trend",14.9699536489989,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Importer cost",67.1,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Price excluding tax",83.8,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","GST",16.4,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Taxes",47.7,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Board price",147.9,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Adjusted retail price",147.9,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Importer margin",17.3,"NZD c/L","Final"
"2006w09",2006-03-03,"Regular Petrol","Importer margin trend",14.3092601165399,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Importer cost",74.82171429,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Price excluding tax",88.24611111,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","GST",16.98888889,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Board price",152.9,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Adjusted retail price",152.9,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Importer margin",13.42439682,"NZD c/L","Final"
"2006w09",2006-03-03,"Premium Petrol 95R","Importer margin trend",11.92955228766,"NZD c/L","Final"
"2006w10",2006-03-10,"NA","Dubai crude price",58.15,"USD/bbl","Final"
"2006w10",2006-03-10,"NA","Dubai crude price",88.94,"NZD/bbl","Final"
"2006w10",2006-03-10,"NA","Exchange rate",0.654,"USD/NZD","Final"
"2006w10",2006-03-10,"Diesel","Importer cost",83.3,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Price excluding tax",94.9,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","ETS",0,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","GST",11.9,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Board price",107.2,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Adjusted retail price",107.2,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Importer margin",14.3,"NZD c/L","Final"
"2006w10",2006-03-10,"Diesel","Importer margin trend",14.9751682990047,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Importer cost",68,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Price excluding tax",84.9,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","GST",16.6,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Taxes",47.6,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Board price",149.2,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Adjusted retail price",149.2,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Importer margin",17.8,"NZD c/L","Final"
"2006w10",2006-03-10,"Regular Petrol","Importer margin trend",14.3523796285743,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Importer cost",75.90957143,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Price excluding tax",90.02388889,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","GST",17.21111111,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Board price",154.9,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Adjusted retail price",154.9,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Importer margin",14.11431746,"NZD c/L","Final"
"2006w10",2006-03-10,"Premium Petrol 95R","Importer margin trend",11.9458141206273,"NZD c/L","Final"
"2006w11",2006-03-17,"NA","Dubai crude price",57.25,"USD/bbl","Final"
"2006w11",2006-03-17,"NA","Dubai crude price",89.14,"NZD/bbl","Final"
"2006w11",2006-03-17,"NA","Exchange rate",0.642,"USD/NZD","Final"
"2006w11",2006-03-17,"Diesel","Importer cost",84.8,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Price excluding tax",96.4,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","ETS",0,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","GST",12.1,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Board price",108.9,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Adjusted retail price",108.9,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Importer margin",13.2,"NZD c/L","Final"
"2006w11",2006-03-17,"Diesel","Importer margin trend",14.9803829490105,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Importer cost",70.1,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Price excluding tax",85.2,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","GST",16.6,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Taxes",47.7,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Board price",149.5,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Adjusted retail price",149.5,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Importer margin",17.2,"NZD c/L","Final"
"2006w11",2006-03-17,"Regular Petrol","Importer margin trend",14.3954991406088,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Importer cost",77.81985714,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Price excluding tax",90.02388889,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","GST",17.21111111,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Board price",154.9,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Adjusted retail price",154.9,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Importer margin",12.20403175,"NZD c/L","Final"
"2006w11",2006-03-17,"Premium Petrol 95R","Importer margin trend",11.9620759535947,"NZD c/L","Final"
"2006w12",2006-03-24,"NA","Dubai crude price",56.98,"USD/bbl","Final"
"2006w12",2006-03-24,"NA","Dubai crude price",91.2,"NZD/bbl","Final"
"2006w12",2006-03-24,"NA","Exchange rate",0.625,"USD/NZD","Final"
"2006w12",2006-03-24,"Diesel","Importer cost",83.8,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Price excluding tax",99,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","ETS",0,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","GST",12.4,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Board price",111.8,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Adjusted retail price",111.8,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Importer margin",14.2,"NZD c/L","Final"
"2006w12",2006-03-24,"Diesel","Importer margin trend",14.9855975990163,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Importer cost",71.7,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Price excluding tax",87.2,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","GST",16.9,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Taxes",47.6,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Board price",151.8,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Adjusted retail price",151.8,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Importer margin",17.1,"NZD c/L","Final"
"2006w12",2006-03-24,"Regular Petrol","Importer margin trend",14.4386186526432,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Importer cost",78.065,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Price excluding tax",92.69055556,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","GST",17.54444444,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Taxes",47.665,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Board price",157.9,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Adjusted retail price",157.9,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Importer margin",14.62555556,"NZD c/L","Final"
"2006w12",2006-03-24,"Premium Petrol 95R","Importer margin trend",11.978337786562,"NZD c/L","Final"
"2006w13",2006-03-31,"NA","Dubai crude price",58.18,"USD/bbl","Final"
"2006w13",2006-03-31,"NA","Dubai crude price",95.74,"NZD/bbl","Final"
"2006w13",2006-03-31,"NA","Exchange rate",0.608,"USD/NZD","Final"
"2006w13",2006-03-31,"Diesel","Importer cost",87.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Price excluding tax",102,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","ETS",0,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","GST",12.8,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Board price",115.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Adjusted retail price",115.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Importer margin",18.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Diesel","Importer margin trend",14.9908122490222,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Importer cost",76.3,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Price excluding tax",90.3,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","GST",17.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Taxes",47.7,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Board price",155.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Adjusted retail price",155.2,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Importer margin",18.6,"NZD c/L","Final"
"2006w13",2006-03-31,"Regular Petrol","Importer margin trend",14.4817381646777,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Importer cost",83.45957143,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","Price excluding tax",95.35722222,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2006w13",2006-03-31,"Premium Petrol 95R","GST",17.87777778,"NZD c/L","Final"
