election_year,party_vote,lr_self,lr_national,lr_labour,econ_state,age,female,ethnicity_euro,ethnicity_maori,prev_vote,income_bracket,econ_change,education,party_like_lab,party_like_nat,party_like_grn,party_like_nzf,party_like_act,lr_green,vote_national,age_group,education_label
1996,National,3.0,3.0,7.0,4.0,80.0,1.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,,,,3.0,58.0,0.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,5.0,,,4.0,49.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,National,8.0,8.0,2.0,2.0,31.0,1.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Alliance,4.0,10.0,4.0,3.0,69.0,0.0,True,False,,,,,,,,,,,,60+,
1996,National,7.0,9.0,2.0,3.0,57.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,Labour,5.0,7.0,4.0,2.0,34.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,NZ First,7.0,9.0,5.0,3.0,80.0,0.0,True,False,,,,,,,,,,,,60+,
1996,,,,,3.0,56.0,1.0,False,False,,,,,,,,,,,,45-59,
1996,Labour,,7.0,3.0,2.0,20.0,0.0,True,False,,,,,,,,,,,0.0,18-29,
1996,Labour,3.0,9.0,1.0,3.0,48.0,0.0,True,False,,,,,,,,,,,0.0,45-59,
1996,NZ First,3.0,9.0,2.0,3.0,51.0,1.0,False,True,,,,,,,,,,,,45-59,
1996,National,8.0,8.0,2.0,1.0,61.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,Labour,5.0,3.0,3.0,2.0,62.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,Alliance,4.0,8.0,5.0,3.0,33.0,0.0,False,False,,,,,,,,,,,,30-44,
1996,Labour,2.0,,2.0,3.0,86.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,6.0,8.0,6.0,3.0,75.0,1.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,8.0,8.0,,2.0,42.0,1.0,False,True,,,,,,,,,,,1.0,30-44,
1996,Labour,1.0,1.0,1.0,3.0,49.0,0.0,True,False,,,,,,,,,,,0.0,45-59,
