date,election_year,pollster,sample_size,Labour,National,NewLabour,Alliance,NZ First,ACT,United Future,Green,Progressive,Te Pāti Māori,Mana,Conservative,InternetMana,TOP,incumbent,incumbent_support,gdp_real,gdp_growth_qoq,gdp_growth_yoy,gdp_per_capita,inflation_yoy,food_inflation,housing_inflation,petrol_inflation,gdp_real_lag1,gdp_growth_qoq_lag1,gdp_growth_yoy_lag1,gdp_per_capita_lag1,inflation_yoy_lag1,food_inflation_lag1,housing_inflation_lag1,petrol_inflation_lag1,gdp_real_lag2,gdp_growth_qoq_lag2,gdp_growth_yoy_lag2,gdp_per_capita_lag2,inflation_yoy_lag2,food_inflation_lag2,housing_inflation_lag2,petrol_inflation_lag2,gdp_real_lag4,gdp_growth_qoq_lag4,gdp_growth_yoy_lag4,gdp_per_capita_lag4,inflation_yoy_lag4,food_inflation_lag4,housing_inflation_lag4,petrol_inflation_lag4
1991-09-21,1993,,,42.0,22.0,11.0,,,,,,,,,,,,National,22.0,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121
1991-10-19,1993,,,43.0,30.0,8.0,,,,,,,,,,,,National,30.0,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577
1991-11-23,1993,,,41.0,24.0,9.0,10.0,,,,,,,,,,,National,24.0,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577
1991-12-07,1993,,,36.0,26.0,6.0,21.0,,,,,,,,,,,National,26.0,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577
1992-02-01,1993,,,38.0,26.0,5.0,18.0,,,,,,,,,,,National,26.0,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324
1992-03-07,1993,,,36.0,32.0,4.0,16.0,,,,,,,,,,,National,32.0,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324
1992-04-04,1993,,,39.0,31.0,4.0,10.0,,,,,,,,,,,National,31.0,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726
1992-04-29,1993,,,42.0,34.0,3.0,10.0,,,,,,,,,,,National,34.0,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726
1992-06-06,1993,,,42.0,33.0,,21.0,,,,,,,,,,,National,33.0,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726
1992-07-03,1993,,,37.0,37.0,,24.0,,,,,,,,,,,National,37.0,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452
1992-08-08,1993,,,41.0,36.0,,20.0,,,,,,,,,,,National,36.0,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452
1992-09-05,1993,,,39.0,34.0,,26.0,,,,,,,,,,,National,34.0,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27270.0,0.0,-3.349282296650713,7768.0,0.9786477142144312,-0.8673027463068195,,-6.656247582351327,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452
1992-10-03,1993,,,42.0,30.0,,27.0,,,,,,,,,,,National,30.0,27103.0,-1.9,-0.6488269794721391,7666.0,0.9683097502621196,0.43290039828727256,,3.5032048212184863,27631.0,0.9,2.8245013396844376,7829.0,0.9717314755191442,-0.7826087602724074,,1.974758975757518,27387.0,0.4,0.9249705188679291,7777.0,0.7957560521856477,-0.9540330082239423,,-3.5189247015023684,27280.0,1.5,-1.6972361356347498,7795.0,2.1582733773161777,0.08665510571699286,,3.311041270036341
